UserID,ItemID,Rate,TypeItem
11550,fch,3,Good
17136,cgh,2,Good
18000,gii,3,Good
19080,dbg,2,Good
11996,fha,4,Good
17448,chc,3,Bad
19255,iea,4,Good
14151,igf,1,Bad
13219,fhf,4,Bad
11444,ffb,4,Good
13986,hgh,5,Bad
17959,abe,4,Bad
14893,hfi,2,Bad
17946,bcd,5,Good
17550,ihg,3,Good
10750,cdg,2,Good
18046,bah,2,Bad
11585,bad,1,Good
16522,aih,1,Good
12192,fbf,2,Bad
11123,bdh,3,Bad
12104,ghf,1,Good
18632,fdi,5,Bad
18831,abh,5,Good
10479,bif,3,Bad
18530,dah,3,Bad
14334,hcb,4,Good
19067,ifg,4,Bad
11595,eei,2,Bad
11995,ebf,1,Good
15946,eha,2,Good
15635,iih,1,Good
13722,dae,2,Good
16404,hcd,2,Good
13995,iii,5,Bad
17006,igh,5,Good
10644,bef,5,Bad
16767,ffh,2,Good
15934,dbd,5,Bad
14754,ihg,2,Good
16018,haa,2,Bad
16606,fbi,4,Bad
17899,bhb,5,Good
14356,chh,1,Bad
15539,eaf,3,Bad
19390,hbh,2,Bad
14414,afd,1,Bad
14785,fae,3,Good
16944,agc,1,Good
19921,fca,3,Good
15134,cbi,3,Bad
16140,hhb,1,Bad
19238,hcc,4,Good
17138,aga,3,Bad
14084,egb,5,Bad
14704,agg,5,Bad
13358,gde,3,Good
15926,bcd,5,Good
17487,hbb,4,Good
15751,fca,2,Good
16483,chg,2,Bad
15008,bca,1,Good
13346,gei,1,Bad
16267,acf,2,Good
19049,fgh,3,Good
19774,ceh,5,Bad
11008,bcc,3,Good
14127,cae,4,Good
19991,efb,4,Good
12052,fia,1,Good
15148,fgc,3,Good
16850,aeg,3,Bad
10582,fbf,2,Good
17412,dfe,3,Bad
10642,gde,2,Good
17213,gdh,3,Good
15573,bcc,5,Bad
13815,caa,4,Bad
15590,cab,5,Bad
15141,chc,5,Good
12796,ecf,5,Bad
14484,gac,4,Bad
14502,fbh,3,Bad
10497,gic,3,Bad
16163,fea,2,Good
14678,ffg,4,Bad
12191,bda,4,Good
11942,fie,5,Good
14634,fge,2,Good
14918,gcg,2,Bad
10146,fdf,3,Good
12795,ghc,1,Bad
19946,hba,5,Bad
19282,fee,3,Bad
13046,hia,1,Good
10333,ecd,5,Good
16727,bib,3,Bad
10493,gdg,4,Good
19439,ehb,3,Good
17358,gaf,4,Good
14890,eea,5,Good
14983,idb,5,Bad
18989,def,1,Bad
17240,dii,3,Good
13114,ece,4,Good
11454,efh,4,Bad
14339,gce,1,Good
11458,gce,2,Good
10361,bdc,2,Bad
12745,ede,5,Bad
17448,cgd,1,Bad
10649,icg,4,Good
10256,fhh,1,Bad
16999,dgc,1,Good
13254,bfa,1,Bad
13834,hdd,2,Good
11059,gch,3,Bad
10293,cce,2,Good
12293,hbg,1,Bad
19184,heh,4,Good
15407,hfg,2,Bad
12559,eae,1,Good
15471,hga,4,Good
14405,gcg,5,Good
10464,ifi,1,Good
19258,hfe,3,Good
15119,fhc,2,Bad
15562,hag,5,Bad
13917,bii,5,Bad
17430,beg,4,Bad
17904,ihi,5,Good
17847,ieb,5,Bad
13587,aee,4,Bad
17616,dea,1,Good
15194,hgh,2,Bad
19885,dgg,3,Good
17232,ega,3,Bad
17851,ibf,1,Bad
13219,ghh,3,Bad
14857,hch,5,Bad
16542,hig,2,Bad
17269,fcc,1,Good
13855,bha,3,Good
10722,hhf,1,Good
19997,hae,3,Good
17514,chg,1,Bad
17802,cah,4,Good
10175,eai,3,Good
13819,hfg,2,Good
18078,cdd,2,Good
14290,cfe,3,Good
17187,bcd,4,Bad
19376,fcd,4,Bad
10813,ggg,5,Bad
19341,abf,1,Bad
11648,iai,1,Bad
11904,dcc,5,Good
19398,bcg,2,Good
11517,edf,2,Good
13217,cga,2,Good
15828,aii,2,Bad
17744,ffi,3,Bad
19744,fid,4,Bad
11797,egg,2,Good
14797,ghb,2,Good
17607,cdi,2,Bad
11714,eeg,5,Bad
14153,bcg,5,Good
11915,aia,2,Bad
16395,hbe,2,Bad
12192,eib,2,Good
19414,cei,3,Bad
18297,cih,1,Good
18965,ggh,4,Bad
14948,chh,3,Good
14663,eaa,4,Good
18141,dhb,1,Bad
10961,ach,5,Good
13782,adb,3,Bad
15440,fdf,5,Good
13850,cfe,4,Good
15985,iii,2,Bad
13941,bid,4,Bad
16224,bcg,1,Bad
14112,gae,3,Good
16695,idd,5,Good
12011,hba,2,Good
11952,bbg,5,Good
16672,ibb,1,Bad
17639,bgh,2,Bad
17863,eib,4,Good
11563,ahe,3,Good
18725,hhh,3,Good
11454,hff,1,Good
16752,bie,1,Bad
15803,ffd,5,Good
10721,fha,1,Bad
11792,ihg,2,Bad
12138,hfb,4,Bad
19540,eab,3,Bad
12448,fah,4,Bad
10993,efc,5,Good
11253,hfh,2,Bad
11211,hbh,3,Good
18822,bfd,1,Good
19356,ghi,4,Good
